"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
184,547973,"Chapman, Aroldis",920,20,0.15,0.15,0.105,0.3,0.19,0.302,0.243,3,20,90,21.1,2405,97.1,98.64,24,84,100,1.5,7.27,107,149,110,146,290,321,291,"4.208","-4.208","69.4","6.9",20,20,2,0,0,1,0,0,0,0,1.0544,1.38745,0.32995,-0.17705,"90.9",188,45,15,15,6.2,0.32,-0.23,2.7,0.15,3,"-2.286956522",0.243,0.478,"2.286956522",-0.093,-0.093,-0.178,-0.112,28.6,"52.3",6.344169970582727,-2.371799568025323,30.206473176291087,0.5180722891566265,35.90202943794639,28.490298948487432
184,670280,"Bednar, David",1032,17.8,0.308,0.231,0.25,0.538,0.36,0.402,0.371,4,13,93.5,12.5,2359,87.3,87.4,15,45,139,0.10000000000000853,6.48,110,147,109,149,294,318,292,"1.747","-1.747","69.6","6.9",13,13,3,0,0,1,0,0,0,0,2.7131,0.40375,0.03467,0.03446,"93.0",141,61.53846153846154,7.6923076923076925,7.6923076923076925,5.9,-1.68,0.21,2.35,0.308,1,"-0.949456522",0.371,0.57,"0.949456522",-0.063,-0.063,-0.032,-0.042,33.3,"39.2",7.207158293528428,6.415510028037641,30.33270154826476,0.4666666666666667,37.013541876206496,25.619977757114146
180,623352,"Hader, Josh",851,21.2,0.308,0.462,0.25,0.769,0.465,0.379,0.241,4,13,92.8,49.4,2388,89.4,89.38,38,72,108,0,6.55,112,150,113,148,301,330,302,"1.55","-1.55","67.4","7.4",14,13,0,3,0,1,0,0,0,0,2.10694,0.82382,0.31061,-0.05341,"90.7",188,46.15384615384615,15.384615384615385,14.285714285714285,5.59,3.17,0.04,2.42,0.357,2,"-0.861111111",0.296,0.613,"0.861111111",0.067,0.061,0.156,0.086,52.8,"28.0",12.304131350570374,-11.07527713866242,31.55730267815246,0.5217391304347826,36.3445771757253,33.36219911176537
172,661403,"Clase, Emmanuel",754,22.8,0.318,0.045,0.304,0.364,0.285,0.231,0.241,7,22,86.7,14.6,2563,96.2,97.11,26,67,105,0.8999999999999915,6.69,112,148,118,149,296,316,294,"1.267","-1.267","71.1","7.2",23,23,6,1,0,0,0,0,0,0,1.6475,0.82651,-0.43669,-0.1168,"91.7",150,39.130434782608695,0,0,5.99,-0.94,0.23,2.32,0.304,0,"-0.736627907",0.234,0.302,"0.736627907",0.077,0.06999999999999998,0.062,0.054,38.8,"51.1",6.915434269465356,2.344250687234488,33.57418885272498,0.5,36.19315326571562,27.357971787743963
165,664854,"Helsley, Ryan",994,16.6,0.526,0.211,0.474,0.737,0.517,0.361,0.343,10,19,92,6.4,2451,94,94.48,24,59,106,0.5,6.58,110,147,112,148,300,326,301,"-2.37","2.37","71.4","7.4",20,20,8,1,0,1,0,0,0,0,1.76721,0.85188,-0.03685,-0.08883,"93.4",156,50,5,5,6.16,-0.24,-0.04,2.37,0.5,1,"1.436363636",0.337,0.502,"-1.436363636",0.183,0.16299999999999998,0.235,0.156,40.7,"62.2",11.254243471139304,-4.291939207732074,33.37916821172913,0.5087719298245614,36.12508272472522,30.47721281207355
164,656730,"Megill, Trevor",765,21.4,0.313,0.313,0.235,0.625,0.35,0.421,0.385,5,16,90.3,22.1,2602,94.2,94.6,16,52,112,0.3999999999999915,6.62,115,149,115,150,305,329,300,"0.346","-0.346","68.2","7.3",18,18,2,2,0,1,0,0,0,0,1.88415,0.72122,0.11735,0.00377,"93.0",214,50,5.555555555555555,5.555555555555555,6.54,-0.13,0.16,2.3,0.278,1,"-0.21097561",0.351,0.704,"0.21097561",-0.072,-0.07299999999999995,-0.079,-0.071,30.8,"53.9",8.178841355538157,-0.6900761770065194,32.64302906169999,0.5098039215686274,36.32663527256758,28.90955542765129
163,640448,"Finnegan, Kyle",855,19.1,0.381,0.143,0.381,0.524,0.387,0.312,0.308,8,21,92.7,5.9,1963,93.9,94.48,14,59,104,0.5999999999999943,6.65,110,148,115,149,303,326,303,"1.676","-1.676","69.4","7.0",21,21,6,1,1,0,0,0,0,0,1.49104,1.11215,0.84166,-0.02607,"92.0",153,38.095238095238095,4.761904761904762,4.761904761904762,5.74,-2.08,-0.11,2.36,0.381,1,"-1.028220859",0.308,0.418,"1.028220859",0.073,0.07300000000000001,0.106,0.075,23.7,"50.5",5.983192825121629,-4.970773886915152,33.231942642149185,0.3620689655172414,36.095692988915985,28.204580763663667
153,676684,"Vest, Will",1141,13.4,0.188,0,0.188,0.188,0.165,0.258,0.224,3,16,85.4,9.1,2266,94.6,94.67,11,43,110,0.10000000000000853,6.39,117,151,110,150,299,329,296,"3.651","-3.651","71.5","7.0",16,16,3,0,0,0,0,0,0,0,1.56503,1.00355,0.4748,0.12612,"91.5",118,37.5,6.25,6.25,5.64,-1.94,-0.05,2.4,0.188,1,"-2.38627451",0.224,0.384,"2.38627451",-0.036,-0.036000000000000004,-0.196,-0.093,25.6,"53.1",6.322395833073439,3.4455272435768682,33.15985238586058,0.5476190476190477,34.437790722224676,25.886383258110833
152,676254,"Walker, Ryan",1024,14.8,0.154,0.154,0.154,0.308,0.23,0.313,0.23,2,13,86.2,7.5,2454,91.6,91.44,13,40,112,-0.19999999999998863,6.37,108,147,112,146,296,322,295,"1.754","-1.754","69.0","7.2",14,13,0,2,0,0,0,0,0,0,2.51454,0.25787,0.50632,0.14079,"92.2",153,38.46153846153847,15.384615384615385,14.285714285714285,5.04,-3.35,0.12,2.16,0.214,2,"-1.153947368",0.289,0.429,"1.153947368",-0.076,-0.07499999999999998,-0.121,-0.083,32.5,"17.5",9.008648519780163,-5.58445723833352,34.275891944714076,0.375,37.56952686994414,29.505809246661986
151,694037,"Palencia, Daniel",845,17.9,0.462,0.462,0.364,0.923,0.595,0.54,0.386,6,13,94.7,18,2303,96.6,97.15,16,53,98,0.6000000000000085,6.59,114,150,113,152,299,321,299,"-2.63","2.63","68.9","6.9",14,13,4,0,0,2,0,0,0,0,1.5406,0.929,0.69536,0.00013,"92.3",184,76.92307692307693,15.384615384615385,14.285714285714285,5.56,-1.28,-0.07,3.03,0.5,2,"1.741721854",0.43,0.875,"-1.741721854",0.076,0.07,0.048,0.055,30.2,"33.9",8.230316329232503,1.5355176139509876,30.02752107757083,0.5660377358490566,36.15882945427556,27.99387337560503
150,642701,"Santana, Dennis",1002,15,0.174,0.087,0.174,0.261,0.186,0.347,0.277,4,23,92.8,24.8,2461,91.2,91.07,14,48,102,-0.10000000000000853,6.12,111,149,111,148,295,314,295,"3.935","-3.935","74.0","7.5",23,23,2,2,0,0,0,0,0,0,1.9886,0.75487,0.424,0.00253,"93.6",207,39.130434782608695,13.043478260869565,13.043478260869565,5.79,-2.05,0.16,2.41,0.174,3,"-2.623333333",0.277,0.547,"2.623333333",-0.103,-0.10300000000000004,-0.286,-0.161,29.2,"31.8",13.17743407299726,-3.8862230206624133,32.62544510993727,0.6222222222222222,36.695402421444186,32.0477642063895
148,656945,"Scott, Tanner",919,16.1,0.368,0.053,0.368,0.421,0.345,0.428,0.413,7,19,87.7,16.1,2608,92.7,92.72,22,65,83,0,6.2,106,150,115,147,302,319,296,"2.18","-2.18","71.0","7.3",19,19,6,1,0,0,0,0,0,0,1.91405,0.74047,0.0198,-0.00966,"92.2",150,47.368421052631575,10.526315789473683,10.526315789473683,5.27,2.52,-0.34,2.31,0.368,2,"-1.472972973",0.413,0.58,"1.472972973",-0.045,-0.044999999999999984,-0.159,-0.083,33.8,"34.9",9.209999265345804,-9.311382503049021,33.49090366258579,0.40625,33.05352137950496,32.0490946953855
146,666808,"Doval, Camilo",1113,13.1,0.357,0,0.357,0.357,0.315,0.253,0.252,5,14,85.9,3.2,2540,94.2,94.65,12,47,99,0.3999999999999915,6.36,110,149,116,148,294,322,296,"1.517","-1.517","70.6","7.4",14,14,5,0,0,0,0,0,0,0,2.12486,0.45455,0.01697,0.09297,"90.8",127,35.714285714285715,7.142857142857142,7.142857142857142,5.33,-1.47,0.01,2.35,0.357,1,"-1.039041096",0.252,0.331,"1.039041096",0.105,0.10499999999999998,0.026,0.062,25.5,"14.2",9.796515553050204,-2.5966406728867746,32.72258501498787,0.4782608695652174,36.16351824438502,29.847313459461027
141,695243,"Miller, Mason",981,14.4,0.5,0.786,0.364,1.286,0.741,0.54,0.392,7,14,91.9,22.9,2440,93.7,94.15,22,50,91,0.3999999999999915,6.73,111,149,116,148,303,329,299,"-2.769","2.769","68.2","7.3",14,14,2,2,0,3,0,0,0,0,2.02943,0.63309,0.02603,0.04631,"92.3",219,42.857142857142854,28.57142857142857,28.57142857142857,6.13,-1.89,0.16,2.56,0.5,4,"1.963829787",0.392,0.899,"-1.963829787",0.108,0.10799999999999998,0.387,0.201,44,"34.6",9.246549469024709,-0.289794045838275,31.117812282015873,0.48,37.38695160578155,28.277873403212215
