"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
71,663969,"Phillips, Tyler",1114,6.4,0.5,0.3,0.444,0.8,0.572,0.456,0.369,5,10,84.6,11.6,2246,88.6,88.59,9,24,47,0,6.46,112,149,111,150,299,317,294,"-1","1","68.2","7.5",11,10,4,0,0,1,0,0,0,0,2.99282,-0.0362,0.2538,0.20254,"91.4",167,40,10,9.090909090909092,5.88,-1.21,0.03,1.95,0.545,1,"1.408450704",0.426,0.638,"-1.408450704",0.131,0.11900000000000005,0.162,0.116,37.5,"30.2",12.769273315431006,-6.302651440010851,33.87004428379477,0.3333333333333333,35.81746204310276,33.5818842272324
68,668941,"Romero, JoJo",1008,6.7,0.5,0.25,0.5,0.75,0.534,0.431,0.407,2,4,92.6,-11.5,2251,89.1,87.48,4,10,58,-1.5999999999999943,5.33,104,147,109,146,306,324,300,"-0.768","0.768","67.4","7.3",4,4,1,1,0,0,0,0,0,0,2.77926,0.13299,0.59,-0.49735,"96.6",135,50,25,25,5.37,2.02,0.08,2.41,0.5,1,"1.129411765",0.407,0.612,"-1.129411765",0.093,0.09300000000000003,0.138,0.103,40,"29.4",7.640584284233309,4.551687566121131,34.42824266857984,0.6,37.48198139686503,27.737268308709602
65,669211,"Akin, Keegan",1066,6.1,0.5,0.5,0.4,1,0.573,0.392,0.337,5,10,82.8,25.1,2355,91.3,90.1,9,28,37,-1.2000000000000028,5.75,107,149,111,147,302,324,295,"-1.327","1.327","69.0","7.1",11,11,2,2,0,1,0,0,0,0,1.73292,1.07032,0.75662,-0.67508,"90.9",182,27.27272727272727,9.090909090909092,9.090909090909092,5.91,1.88,0.24,2.58,0.455,1,"2.041538462",0.308,0.683,"-2.041538462",0.163,0.14700000000000002,0.317,0.181,32.1,"39.2",6.298358014383602,-8.90001364123182,34.046230520001075,0.5185185185185185,37.01555081732358,30.6291191454561
65,596133,"Weaver, Luke",1053,6.2,0.375,0,0.375,0.375,0.331,0.467,0.438,3,8,91.6,11.3,2396,93.9,93.17,10,31,34,-0.7000000000000028,6.08,115,150,115,152,294,322,289,"0.573","-0.573","73.1","7.4",8,8,3,0,0,0,0,0,0,0,1.16846,1.44138,0.54766,-0.07266,"92.8",180,62.5,12.5,12.5,5.66,-1.49,-0.02,2.44,0.375,1,"-0.881538462",0.438,0.646,"0.881538462",-0.063,-0.063,-0.271,-0.136,32.3,"48.5",11.979022435566513,-1.7477520616214368,29.990933297880318,0.7096774193548387,39.28599505964634,29.79162043794723
64,664208,"Maton, Phil",1017,6.3,0.4,0,0.4,0.4,0.415,0.243,0.163,2,5,69.1,21.4,2658,85.5,86.41,8,21,43,0.9000000000000057,6.99,112,148,106,149,300,324,303,"-0.289","0.289","67.1","6.6",6,5,2,0,0,0,0,0,0,0,2.74719,0.43203,-0.26516,0.03609,"88.2",98,0,0,0,5.17,-1.44,0.02,2.53,0.5,0,"0.4515625",0.303,0.17,"-0.4515625",0.237,0.197,0.23,0.172,38.1,"25.3",11.279329430188156,15.810965834207883,31.559481661802884,0.42857142857142855,37.30407457860335,24.636524151911267
62,673929,"Leasure, Jordan",1133,5.5,0,0,0,0,0,0.08,0.079,0,3,77.2,-3.7,2359,92.4,93.55,11,22,40,1.0999999999999943,6.94,109,147,110,145,294,314,295,"0.963","-0.963","69.3","7.7",3,3,0,0,0,0,0,0,0,0,1.67113,1.0129,-0.03823,-0.1179,"90.7",179,0,0,0,5.84,-0.93,0.34,2.34,0,0,"-1.553225806",0.079,0.109,"1.553225806",-0.079,-0.079,-0.109,-0.08,50,"53.9",15.870868766960871,-13.29024206983821,31.384070400273913,0.5454545454545454,35.784674258268495,38.42989322579873
61,592454,"Kahnle, Tommy",1037,5.9,0.167,0,0.167,0.167,0.147,0.104,0.107,1,6,82.4,4.8,1409,87.1,87.9,4,15,46,0.8000000000000114,6.71,116,148,107,150,293,328,298,"1.421","-1.421","71.0","7.4",6,6,1,0,0,0,0,0,0,0,2.74115,0.27017,0.91689,-0.20869,"89.7",115,16.666666666666664,0,0,5.59,-2.23,-0.17,2.2,0.167,0,"-2.329508197",0.107,0.135,"2.329508197",0.06,0.06000000000000001,0.032,0.043,26.7,"33.3",12.543413163919471,-3.637501992382933,35.83207952142015,0.3333333333333333,35.28470648780854,35.00945607870066
61,605447,"Romano, Jordan",705,8.7,0.857,0.857,0.8,1.714,1.086,0.629,0.466,6,7,91.5,8.9,2075,88.7,90.23,6,19,42,1.5,7.36,108,145,112,147,295,318,286,"-2.865","2.865","66.8","7.2",7,7,4,0,0,2,0,0,0,0,2.3782,0.56131,0.12517,0.01417,"96.2",147,71.42857142857143,28.57142857142857,28.57142857142857,6.08,-2.2,-0.03,2.61,0.857,2,"4.696721311",0.466,1.031,"-4.696721311",0.391,0.39099999999999996,0.683,0.457,31.6,"47.9",10.275894066198461,-7.633962347573368,29.0158690515825,0.47368421052631576,37.167627152481565,31.66212067950664
60,542888,"Armstrong, Shawn",1118,5.4,0.222,0.333,0.125,0.556,0.324,0.509,0.41,2,9,92.2,15.4,2407,91.5,92.01,6,26,34,0.5,6.7,113,149,106,148,296,327,300,"0.894","-0.894","71.8","7.3",9,9,1,0,0,1,0,0,0,0,1.71932,1.02576,0.14271,0.06102,"91.9",175,55.55555555555556,11.11111111111111,11.11111111111111,5.76,-1.58,0.22,2.35,0.222,1,"-1.49",0.41,0.786,"1.49",-0.188,-0.18799999999999997,-0.23,-0.185,23.1,"40.2",8.14895733438873,5.985569945540714,31.085086354419786,0.44,39.07909805466567,25.604469620404117
60,663687,"Harris, Hogan",1141,5.3,0.444,0.111,0.444,0.556,0.433,0.391,0.401,4,9,88.3,20.4,2400,86.5,86.31,4,19,41,-0.20000000000000284,6.54,109,149,117,147,298,324,297,"-0.022","0.022","65.2","6.8",9,9,3,1,0,0,0,0,0,0,2.6865,0.51817,0.31583,-0.1445,"91.5",197,44.44444444444444,0,0,6.12,2.15,-0.02,2.44,0.444,0,"0.036666667",0.401,0.489,"-0.036666667",0.043,0.04299999999999998,0.067,0.042,21.1,"55.4",8.30874046921567,1.806255447882678,30.36645444763727,0.5263157894736842,34.95657324666006,29.61452896702275
60,681982,"Anderson, Grant",1170,5.1,0,0,0,0,0,0.263,0.269,0,5,90.1,8.3,2472,87.9,88.19,10,22,38,0.29999999999999716,6.51,108,147,118,149,302,327,300,"2.485","-2.485","70.0","7.0",6,6,0,0,0,0,0,0,0,0,2.5915,0.41533,0.28767,-0.029,"92.0",195,50,0,0,4.34,-2.6,0.11,2.44,0,0,"-4.141666667",0.246,0.357,"4.141666667",-0.269,-0.246,-0.357,-0.263,45.5,"3.7",5.015410903178402,6.332497405093377,31.840514636497108,0.45454545454545453,38.195182389057315,26.415028202122752
58,676661,"Lazar, Max",646,9,0.333,0,0.333,0.333,0.294,0.243,0.264,2,6,87.4,12.5,2516,90.4,91.37,2,12,46,1,6.88,114,149,117,148,295,326,293,"0.143","-0.143","71.7","6.8",6,6,2,0,0,0,0,0,0,0,2.27276,0.55638,-0.13772,0.06684,"90.8",128,16.666666666666664,0,0,5.92,-0.59,-0.03,2.49,0.333,0,"-0.246551724",0.264,0.292,"0.246551724",0.069,0.069,0.041,0.051,16.7,"52.8",7.278153865989528,3.2588136576479716,30.708940087503482,0.3333333333333333,36.58534922564588,28.302490505910825
57,672578,"Hernández, Carlos",761,7.5,0.6,0.2,0.6,0.8,0.603,0.634,0.606,3,5,97.4,10.2,2214,92.3,93.12,7,21,36,0.7999999999999972,6.82,112,147,115,148,295,321,289,"-0.712","0.712","70.2","7.3",5,5,2,1,0,0,0,0,0,0,1.85491,0.87554,0.3586,-0.17614,"92.1",194,60,20,20,5.99,-1.86,0.22,2.3,0.6,1,"1.249122807",0.606,0.875,"-1.249122807",-0.006,-0.006000000000000005,-0.075,-0.031,33.3,"40.0",11.241392191001347,-1.9163328355444438,31.413340290615704,0.4,34.33202816648945,31.128206539341626
57,682842,"Uribe, Abner",1174,4.9,0.25,0,0.25,0.25,0.221,0.178,0.19,1,4,70.9,29.7,2401,93.1,93.05,2,12,45,0,6.38,112,150,121,151,304,327,301,"-0.006","0.006","63.8","6.9",4,4,1,0,0,0,0,0,0,0,2.26702,0.41786,0.22719,-0.14649,"89.9",107,25,0,0,5.87,-1.31,0.08,2.41,0.25,0,"0.010526316",0.19,0.213,"-0.010526316",0.06,0.06,0.037,0.043,16.7,"37.3",7.662473993431688,-6.466992505105031,33.99822982971681,0.4166666666666667,37.52044138994909,29.28693766128363
54,623437,"Topa, Justin",990,5.5,0.75,0.5,0.75,1.25,0.822,0.557,0.536,3,4,89,28.3,2419,88.4,87.5,1,9,45,-0.9000000000000057,5.69,117,149,113,150,297,330,294,"-1.149","1.149","66.0","7.0",5,4,1,2,0,0,0,0,0,0,2.70259,0.25115,0.04037,0.23963,"90.9",148,33.33333333333333,0,0,4.93,-2.52,-0.05,2.34,0.8,0,"2.127777778",0.652,0.624,"-2.127777778",0.214,0.14800000000000002,0.626,0.265,11.1,"9.8",5.529660901889339,5.8998974907479305,33.299440326207495,0.5555555555555556,40.33299291190838,24.934552315568688
53,688642,"Agnos, Zach",527,10.1,0.375,1,0.167,1.375,0.707,0.871,0.495,3,8,96,15.3,2236,92.2,92.25,7,20,33,0,6.04,114,148,114,147,306,337,305,"-2.295","2.295","72.0","7.4",8,8,0,0,1,2,0,0,0,0,2.07321,0.59321,0.16596,-0.21635,"93.7",222,50,50,50,5.87,-1.85,0.28,2.52,0.375,4,"4.330188679",0.495,1.634,"-4.330188679",-0.12,-0.12,-0.259,-0.164,35,"39.9",11.080520475203839,-4.057882242439459,32.635095260137874,0.5,35.49858891785864,31.2867556250053
52,678495,"Rodríguez, Randy",808,6.4,0.2,0,0.2,0.2,0.176,0.296,0.245,1,5,86.9,-0.6,2717,93.6,94.06,7,17,35,0.5,6.58,109,147,109,145,296,323,295,"0.784","-0.784","70.1","7.0",5,5,1,0,0,0,0,0,0,0,1.585,1.04269,-0.07673,0.01365,"90.9",163,40,20,20,5.52,-2.71,0,2.54,0.2,1,"-1.507692308",0.245,0.447,"1.507692308",-0.045,-0.044999999999999984,-0.247,-0.12,41.2,"39.4",5.469388007314453,7.4228872077502785,32.23738016181014,0.4117647058823529,37.31119335328653,24.43378290771043
52,621381,"Strahm, Matt",995,5.2,0.4,0.2,0.4,0.6,0.427,0.288,0.276,2,5,97.2,40.6,2538,88.8,88.36,7,14,38,-0.3999999999999915,6.18,108,149,114,147,299,319,286,"-0.339","0.339","68.9","7.3",5,5,1,1,0,0,0,0,0,0,2.04731,0.88731,0.59865,0.01173,"96.4",218,80,0,0,5.39,2.27,-0.07,2.65,0.4,0,"0.651923077",0.276,0.398,"-0.651923077",0.124,0.124,0.202,0.139,50,"30.7",13.633149324261261,0.9969350543859278,33.067825013010804,0.46153846153846156,35.37583423067365,30.214768109518452
49,641755,"Kinley, Tyler",1239,4,0.5,0,0.5,0.5,0.441,0.599,0.464,3,6,99.1,12.5,2508,88.5,87.81,5,15,34,-0.7000000000000028,5.57,110,147,113,148,304,328,300,"-0.114","0.114","60.5","7.5",6,6,3,0,0,0,0,0,0,0,2.48102,0.41531,-0.09694,0.03367,"96.6",219,50,33.33333333333333,33.33333333333333,6.55,-0.91,0.29,1.93,0.5,2,"0.232653061",0.464,0.959,"-0.232653061",0.036,0.035999999999999976,-0.459,-0.158,33.3,"46.4",19.792392861895095,-25.763501614578825,32.84994935787336,0.5,37.21461576715143,33.31613156228048
49,665660,"Alvarado, Elvis",767,6.4,0,0,0,0,0,0.007,0.006,0,1,83.1,72,2389,96.4,95.29,5,14,35,-1.1000000000000085,5.86,110,149,119,149,299,326,296,"0.522","-0.522","68.6","7.1",1,1,0,0,0,0,0,0,0,0,1.62551,0.86102,1.00521,0.06646,"88.2",106,0,0,0,5.71,-2.46,0.05,2.52,0,0,"-1.065306122",0.006,0.007,"1.065306122",-0.006,-0.006,-0.007,-0.007,35.7,"18.8",9.50099981537929,-1.8639237650857856,32.18774297872439,0.6923076923076923,32.48949766652133,27.31794241725389
48,595014,"Treinen, Blake",526,9.1,0.333,0,0.333,0.333,0.294,0.129,0.14,1,3,82.3,17,2475,89.1,87.87,4,12,36,-1.1999999999999886,5.59,109,149,120,149,294,315,292,"0.412","-0.412","70.3","7.4",3,3,1,0,0,0,0,0,0,0,2.73,0.18104,-0.13729,0.30396,"92.8",160,33.33333333333333,0,0,6.29,-2.83,0.11,2.3,0.333,0,"-0.858333333",0.14,0.169,"0.858333333",0.193,0.193,0.164,0.165,33.3,"33.2",8.370412025864766,-2.396835910966239,32.678604871674565,0.5,37.92172455513478,30.411957620340665
47,684320,"Rodríguez, Yariel",1172,4,0.2,0.6,0,0.8,0.46,0.385,0.193,1,5,77.2,42.2,2507,92.8,92.69,4,12,35,-0.09999999999999432,6.38,113,149,111,150,291,321,293,"-2.156","2.156","71.2","7.2",6,5,0,0,0,1,0,0,0,0,1.90511,0.78128,0.18556,-0.13756,"90.9",183,20,20,16.666666666666664,5.73,-1.78,-0.19,2.67,0.333,1,"4.587234043",0.327,0.572,"-4.587234043",0.007,0.006000000000000005,0.228,0.075,33.3,"36.7",7.975421459656435,5.105502600080429,31.74750724684325,0.2727272727272727,37.654124242290315,28.454157917257973
47,663485,"Sands, Cole",1152,4.1,0.25,0.25,0.25,0.5,0.395,0.564,0.449,1,4,100,10,2387,89.3,88.26,2,8,39,-1,5.78,119,148,116,151,298,330,292,"-0.435","0.435","72.9","7.3",5,4,0,1,0,0,0,0,0,0,2.4417,0.46277,0.0734,-0.20234,"98.5",159,75,50,40,5.61,-2.61,0.07,2.47,0.4,2,"0.925531915",0.559,0.806,"-0.925531915",-0.199,-0.15900000000000003,-0.306,-0.169,25,"23.1",11.37612077211477,-2.5857590623817233,31.70825261417287,0.75,34.89353767203737,30.25296771219115
47,669674,"Long, Sam",790,5.9,0.556,0.111,0.556,0.667,0.531,0.375,0.39,5,9,82,9,2299,88.3,87.86,3,18,29,-0.3999999999999915,6.02,108,148,124,150,300,321,293,"-1.836","1.836","69.9","7.3",9,9,4,1,0,0,0,0,0,0,2.34809,0.62936,0.45457,-0.0837,"92.8",153,44.44444444444444,0,0,5.86,1.77,0.12,2.33,0.556,0,"3.906382979",0.39,0.463,"-3.906382979",0.166,0.16600000000000004,0.204,0.156,16.7,"48.2",7.468745171376512,0.552462521257203,33.5653894262621,0.4444444444444444,35.71887171285502,29.143945932704366
46,552640,"Kittredge, Andrew",772,6,0.222,0,0.222,0.222,0.196,0.27,0.286,2,9,85.8,-11.8,2456,93.2,93.98,3,20,26,0.7999999999999972,6.62,117,149,114,151,299,324,302,"1.518","-1.518","73.3","7.5",9,9,2,0,0,0,0,0,0,0,1.92174,0.69304,0.44826,-0.21348,"89.2",58,0,0,0,5.89,-1.71,0.01,2,0.222,0,"-3.3",0.286,0.325,"3.3",-0.064,-0.06399999999999997,-0.103,-0.074,15,"41.0",13.557111055546926,-9.901236964628644,30.800371947623354,0.7,35.778446005038674,36.37491580077835
46,691799,"Taylor, Grant",614,7.5,0,0,0,0,0,0.386,0.391,0,3,79,18.7,2495,94.8,96.73,1,10,36,1.9000000000000057,7.35,108,147,109,148,299,320,300,"0.534","-0.534","65.5","6.3",3,3,0,0,0,0,0,0,0,0,1.9237,0.64109,-0.13783,0.07652,"90.5",201,33.33333333333333,0,0,5.87,-0.66,0.04,2.53,0,0,"-1.160869565",0.391,0.514,"1.160869565",-0.391,-0.391,-0.514,-0.386,10,"58.3",2.2909231517607886,8.32169033416879,26.989791578788804,0.4,37.22875609884961,25.92616785898911
46,643338,"Green, Chad",718,6.4,0.5,0.333,0.5,0.833,0.564,0.689,0.53,3,6,97.9,18.7,2380,92.5,92.31,5,19,27,-0.20000000000000284,6.36,112,150,118,150,296,323,294,"-0.487","0.487","68.6","7.0",6,6,1,2,0,0,0,0,0,0,1.66565,1.025,0.26152,0.01239,"93.1",198,66.66666666666666,33.33333333333333,33.33333333333333,6.16,-2.01,0.2,2.6,0.5,2,"1.058695652",0.53,1.13,"-1.058695652",-0.03,-0.030000000000000027,-0.297,-0.125,26.3,"46.5",10.010827575613717,-0.7188432007108667,29.595355017469846,0.47368421052631576,37.4375250380552,30.372676877677396
46,669622,"Bender, Anthony",793,5.8,0,0,0,0,0,0.389,0.347,0,3,95,1.7,2622,87.3,86.25,2,10,36,-1.0999999999999943,5.72,105,145,111,148,301,324,298,"0.469","-0.469","71.0","7.6",3,3,0,0,0,0,0,0,0,0,2.91457,0.11413,-0.52478,-0.23522,"93.5",134,66.66666666666666,0,0,5.52,-2.06,-0.14,2.41,0,0,"-1.019565217",0.347,0.566,"1.019565217",-0.347,-0.347,-0.566,-0.389,20,"15.9",13.93630722000386,-5.121728750681481,31.565512967993293,0.4,35.92456586389919,34.47825737471639
46,660896,"Alcala, Jorge",1062,4.3,0,0,0,0,0,0.071,0.06,0,3,63.9,26.7,2483,94.4,93.66,4,17,29,-0.7000000000000028,5.86,113,149,118,149,291,320,292,"1.334","-1.334","70.6","7.1",3,3,0,0,0,0,0,0,0,0,1.58413,0.9963,0.57652,0.25565,"88.4",171,0,0,0,6.59,-2.04,-0.19,2.58,0,0,"-2.9",0.06,0.103,"2.9",-0.06,-0.06,-0.103,-0.071,23.5,"51.5",5.76660768205321,4.073508966454427,34.30651382832384,0.5,34.97362400913054,25.508129562543466
46,608718,"Suter, Brent",1141,4,0.429,0,0.429,0.429,0.378,0.325,0.351,3,7,71.7,4.3,2068,83.9,85.78,2,18,28,1.8999999999999915,7.42,111,149,119,147,300,322,287,"0.543","-0.543","62.6","6.5",7,7,3,0,0,0,0,0,0,0,2.21109,1.055,0.0687,-0.12348,"91.1",126,28.57142857142857,0,0,6.09,3.22,0.05,2.27,0.429,0,"-1.180434783",0.351,0.389,"1.180434783",0.078,0.07800000000000001,0.04,0.053,11.1,"52.5",3.0809586142518146,9.829481334937768,33.053671807705136,0.3333333333333333,37.296508183617945,29.88104601371198
45,685126,"Eisert, Brandon",1239,3.6,0,0,0,0,0.361,0.526,0.367,0,1,79.9,9,1928,86.7,87.7,4,10,35,1,7.09,106,149,113,148,295,321,293,"0.198","-0.198","72.8","7.4",2,1,0,0,0,0,0,0,0,0,2.33378,0.726,0.54911,-0.18822,"89.4",198,0,0,0,5.09,4.06,0.22,2.4,0.5,0,"-0.44",0.683,0.378,"0.44",-0.367,-0.18300000000000005,-0.378,-0.165,40,"30.9",11.482827202310816,-3.4276010151160854,31.85413639881194,0.6,37.253380657414475,34.528379844165556
45,681911,"Vesia, Alex",1036,4.3,0.5,0.75,0.25,1.25,0.584,0.488,0.444,2,4,82.4,33.2,2415,90.8,90.72,1,12,33,-0.09999999999999432,6.26,104,152,113,148,302,319,294,"-0.855","0.855","72.9","7.2",6,6,1,0,0,1,0,0,0,0,1.35778,1.42244,0.31,-0.26067,"92.7",198,66.66666666666666,16.666666666666664,16.666666666666664,5.97,0.25,-0.1,3.18,0.4,1,"1.9",0.359,0.993,"-1.9",0.056,0.041000000000000036,0.257,0.096,8.3,"64.6",10.889695715596133,-0.8447191826943923,33.416305877537894,0.7272727272727273,34.13225377961509,26.968148911968747
44,676617,"O'Brien, Riley",767,5.7,0,0,0,0,0,0.266,0.292,0,5,79.3,2.4,2312,94.6,95.87,2,13,31,1.3000000000000114,6.95,107,148,104,147,305,325,298,"1.81","-1.81","63.4","6.3",5,5,0,0,0,0,0,0,0,0,2.0925,0.46568,0.72977,0.21256,"90.7",125,0,0,0,5.53,-1.73,0.1,2.32,0,0,"-4.113636364",0.292,0.346,"4.113636364",-0.292,-0.292,-0.346,-0.266,15.4,"30.2",-2.318697636256367,-1.2644982855402205,36.56391768856181,0.38461538461538464,35.189270329980204,21.715007636383746
43,660825,"Bazardo, Eduard",1232,3.5,0,0,0,0,0,0.336,0.364,0,2,83.9,-38,2303,89,88.08,1,6,37,-0.9000000000000057,5.82,117,149,116,148,289,319,296,"1.143","-1.143","75.2","7.3",2,2,0,0,0,0,0,0,0,0,2.43302,0.5093,0.0086,0.1286,"93.2",83,50,0,0,5.86,-2.1,0.12,2.44,0,0,"-2.658139535",0.364,0.385,"2.658139535",-0.364,-0.364,-0.385,-0.336,16.7,"45.8",5.416642129746059,3.316025084604152,29.34891577695103,0.5,36.94497237540923,31.173103857796757
43,678368,"Bellozo, Valente",1322,3.3,0.375,0.25,0.375,0.625,0.423,0.557,0.466,3,8,96.4,30.5,2448,83.9,83.4,3,15,28,-0.5,6.01,110,149,115,148,304,322,293,"-0.312","0.312","67.8","6.8",8,8,1,2,0,0,0,0,0,0,2.51047,0.76488,-0.31302,-0.35349,"94.1",217,50,12.5,12.5,6.01,-1.21,0.14,2.56,0.375,1,"0.725581395",0.466,0.838,"-0.725581395",-0.091,-0.09100000000000003,-0.213,-0.134,20,"45.8",5.560521154410058,-14.113567702626597,30.536304628832102,0.5333333333333333,38.15912970405225,32.5093897801649
43,663765,"Woodford, Jake",629,6.8,0.5,0,0.5,0.5,0.481,0.557,0.562,3,6,86.8,18,2145,88.9,89.41,2,16,27,0.5,6.54,106,148,116,147,300,321,296,"-0.285","0.285","70.1","7.0",7,6,3,0,0,0,0,0,0,0,2.54977,0.36279,0.38791,0.33674,"91.9",104,16.666666666666664,0,0,5.04,-2.27,-0.21,2.4,0.571,0,"0.662790698",0.625,0.647,"-0.662790698",-0.062,-0.05400000000000005,-0.147,-0.076,12.5,"24.8",9.20648903594287,-4.767572698951317,33.01043235608364,0.5625,29.25897367138669,31.26492730815329
43,673513,"Matsui, Yuki",1073,4,0,0,0,0,0.09,0.353,0.292,0,6,91.2,15.7,2180,87.4,86.15,5,17,26,-1.2000000000000028,5.69,117,148,117,148,300,322,298,"1.783","-1.783","72.3","7.6",8,7,0,0,0,0,0,0,0,0,2.17628,0.85209,0.26953,-0.11047,"92.4",177,28.57142857142857,14.285714285714285,12.5,6.11,2.02,0.07,2.33,0.125,1,"-4.146511628",0.35,0.493,"4.146511628",-0.292,-0.22499999999999998,-0.493,-0.263,29.4,"54.3",10.983788971502836,-4.828419736923242,29.869205025025472,0.625,41.211332697493816,31.643722502440056
43,672391,"Ort, Kaleb",793,5.4,0.2,0,0.2,0.2,0.176,0.337,0.34,1,5,81.4,20.4,2407,92.6,91.92,3,11,32,-0.6999999999999886,6.23,105,146,116,146,298,325,294,"0.955","-0.955","69.2","7.1",5,5,1,0,0,0,0,0,0,0,1.7293,0.9907,0.19977,0.01419,"89.9",159,20,0,0,5.85,-2.64,-0.03,2.66,0.2,0,"-2.220930233",0.34,0.439,"2.220930233",-0.14,-0.14,-0.239,-0.161,27.3,"41.0",7.004558053771298,0.40135053219498307,34.46218666983544,0.18181818181818182,31.931673278553564,28.595651343303615
42,621112,"Blackburn, Paul",666,6.3,0.5,0.333,0.5,0.833,0.558,0.458,0.458,3,6,81.6,22.5,2257,90.6,90.39,0,10,32,-0.19999999999998863,6.19,114,149,130,151,294,323,292,"-1.141","1.141","72.2","7.1",6,6,2,0,1,0,0,0,0,0,2.38262,0.41429,0.29976,0.12405,"90.4",165,16.666666666666664,0,0,5.95,-2.07,0.11,2.32,0.5,0,"2.716666667",0.458,0.591,"-2.716666667",0.042,0.04199999999999998,0.242,0.1,0,"44.2",4.17310805868547,9.50419788739861,31.553665581288076,0.3,38.95310798708793,26.809426263181145
42,657097,"Webb, Jacob",986,4.3,0.2,0.6,0,0.8,0.407,0.225,0.134,1,5,68.6,16.9,2471,88,87.55,2,11,31,-0.5,6.35,110,148,109,148,297,324,296,"-0.02","0.02","62.6","6.5",7,7,0,0,0,1,0,0,0,0,2.36238,0.65571,0.24595,-0.27929,"91.3",146,28.57142857142857,14.285714285714285,14.285714285714285,5.55,-2.91,0.08,2.26,0.2,1,"0.047619048",0.134,0.415,"-0.047619048",0.066,0.066,0.385,0.182,18.2,"34.2",-0.824232398944373,-28.83757407425845,37.27073866125592,0.2857142857142857,36.51017743321524,33.65852771960694
41,666277,"Soriano, George",696,5.9,0.667,0,0.667,0.667,0.588,0.66,0.6,4,6,95.3,8.5,2203,91.2,91.38,3,15,26,0.20000000000000284,6.54,108,147,112,148,309,330,302,"-0.907","0.907","72.8","7.6",6,6,4,0,0,0,0,0,0,0,2.40195,0.3739,0.60805,0.00171,"94.3",163,83.33333333333334,16.666666666666664,16.666666666666664,5.6,-2.58,0.09,2.19,0.667,1,"2.212195122",0.6,0.942,"-2.212195122",0.067,0.06700000000000006,-0.275,-0.072,20,"32.9",12.926374739264991,-7.443549899019991,37.840634512440545,0.5333333333333333,36.95273648000642,33.61979629962398
41,622554,"Domínguez, Seranthony",1109,3.7,0.5,0.5,0.5,1,0.626,0.244,0.165,1,2,91.6,55.5,2195,92.8,92.86,5,12,29,0.10000000000000853,6.38,108,148,117,148,297,321,299,"-0.391","0.391","70.1","7.6",2,2,0,1,0,0,0,0,0,0,1.92537,0.76073,0.23927,-0.05976,"89.7",128,50,0,0,5.63,-2.06,0.03,2.46,0.5,0,"0.953658537",0.165,0.435,"-0.953658537",0.335,0.33499999999999996,0.565,0.382,41.7,"31.1",12.369798433703236,-6.773077877232698,29.31661301141208,0.25,37.9986557188346,34.547421267851355
41,669371,"Henry, Cole",969,4.2,0.25,0.25,0.25,0.5,0.313,0.316,0.273,1,4,101.8,21,2520,89.4,89.87,4,14,27,0.5,6.61,113,150,124,150,303,325,300,"0.369","-0.369","71.4","7.2",4,4,0,1,0,0,0,0,0,0,2.20341,0.69854,0.47439,-0.18805,"94.8",139,75,0,0,5.34,-2.08,0.11,2.6,0.25,0,"-0.9",0.273,0.483,"0.9",-0.023,-0.02300000000000002,0.017,-0.003,28.6,"23.1",10.57774719036512,-1.9305343820625498,31.07817475161234,0.6428571428571429,35.722775232484004,31.71709371466743
40,669684,"Murphy, Chris",573,7,0.6,0.6,0.5,1.2,0.76,0.606,0.439,3,5,88.7,19.6,2325,86.3,86,3,11,29,-0.29999999999999716,6.14,110,151,121,147,288,321,290,"-0.658","0.658","70.4","7.1",5,5,2,0,0,1,0,0,0,0,2.84425,0.27925,-0.21875,0.40575,"95.2",164,80,20,20,5.36,2.28,-0.05,2.51,0.6,1,"1.645",0.439,1.008,"-1.645",0.161,0.16099999999999998,0.192,0.154,27.3,"38.6",7.002496412069032,-4.314374287340963,34.17018906540112,0.6363636363636364,35.993655093967156,28.455784880608864
