pitches_out_of_zone,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length,pa,bip,singles,doubles,triples,hrs,so,k_percent,bb,bb_percent,api_break_z_with_gravity,api_break_z_induced,api_break_x_arm,api_break_x_batter_in,hyper_speed,bbdist,hardhit_percent,barrels_per_bbe_percent,barrels_per_pa_percent,release_pos_z,release_pos_x,plate_x,plate_z,obp,barrels_total,batter_run_value_per_100,xobp,xslg,pitcher_run_value_per_100,xbadiff,xobpdiff,xslgdiff,wobadiff,swing_miss_percent,arm_angle,attack_angle,attack_direction,swing_path_tilt,rate_ideal_attack_angle,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
112,661395,"Duran, Jhoan",1073,10.4,,,,,0.722,0.722,,0,0,,,2170,94.7,94.38,16,21,91,-0.29999999999999716,6.15,111,147,112,148,295,325,293,-2.227,2.227,64.0,7.1,1,0,0,0,0,0,0,0,0,0,2.46,0.11705,0.51732,-0.10089,88.0,11,,,,5.98,-2.37,0.03,2.61,1,,1.988392857,1,,-1.988392857,,0,,0,76.2,32.1,5.9125691289803015,4.566381961953478,34.359830865417656,0.55,39.99899314218188,25.976641038771135
111,662253,"Muñoz, Andrés",1035,10.7,0,0,0,0,0,0.172,0.192,0,2,57.1,-27,2270,91.6,92.21,14,19,92,0.6000000000000085,6.66,110,146,106,146,289,320,298,-1.218,1.218,64.6,8.1,2,2,0,0,0,0,0,0,0,0,2.42414,0.32775,0.23225,0.11423,89.5,52,0,0,0,5.32,-2.5,-0.08,2.13,0,0,1.097297297,0.192,0.212,-1.097297297,-0.192,-0.192,-0.212,-0.172,73.7,29.6,22.39488279214558,-25.52724674505825,34.880689736967,0.42105263157894735,36.75385124121892,43.74010599443452
111,628452,"Iglesias, Raisel",964,11.5,0.25,0,0.25,0.25,0.221,0.196,0.198,1,4,90.9,25.5,2283,91.8,91.5,7,17,94,-0.29999999999999716,6.16,117,148,113,150,303,323,298,-1.932,1.932,68.2,7.5,4,4,1,0,0,0,0,0,0,0,1.99486,0.73468,0.9036,-0.14288,91.7,86,25,0,0,5.53,-1.82,0.11,1.78,0.25,0,1.740540541,0.198,0.251,-1.740540541,0.052,0.05199999999999999,-0.001,0.025,41.2,31.8,11.681550165534166,-18.131488625669316,37.13486707214355,0.47058823529411764,35.58426090423386,38.49923188834521
108,641941,"Pagán, Emilio",1068,10.1,0,0,0,0,0,0.23,0.221,0,1,70.9,47,2266,91.3,92.17,12,20,88,0.9000000000000057,6.83,113,148,113,149,295,324,294,-1.813,1.813,65.5,7.5,1,1,0,0,0,0,0,0,0,0,1.7312,1.02769,0.34231,-0.20157,89.1,215,0,0,0,5.63,-1.61,-0.27,2.38,0,0,1.678703704,0.221,0.299,-1.678703704,-0.221,-0.221,-0.299,-0.23,60,42.5,14.88982069103762,-21.087667153635888,30.689184844290953,0.35,34.906824379085556,36.93709405721492
107,664126,"Fairbanks, Pete",987,10.8,0,0,0,0,0,0.04,0.044,0,1,64.2,-24,2481,91.8,92.24,11,17,90,0.4000000000000057,6.46,107,146,110,147,299,322,294,-1.726,1.726,63.7,8.0,1,1,0,0,0,0,0,0,0,0,2.12953,0.59869,-0.14243,-0.08505,88.1,120,0,0,0,7,-0.08,0.15,2.02,0,0,1.613084112,0.044,0.044,-1.613084112,-0.044,-0.044,-0.044,-0.04,64.7,57.9,18.47550198826468,-14.455978700892853,32.69326666401215,0.23529411764705882,41.910538819728345,40.21780840377726
105,621242,"Díaz, Edwin",1067,9.8,0,0,0,0,0.542,0.58,0.171,0,1,52.5,16,2286,93.4,94.81,12,16,89,1.3999999999999915,7.14,114,148,112,149,299,325,298,-3.304,3.304,63.5,7.1,4,1,0,0,0,0,0,0,0,0,1.88095,0.75769,0.59882,0.00451,88.0,151,0,0,0,4.96,-1.98,-0.19,2.81,0.75,0,3.146666667,0.793,0.193,-3.146666667,-0.171,-0.04300000000000004,-0.193,-0.038,75,19.6,8.556007323573928,0.5051918464617309,36.92138029617672,0.26666666666666666,36.45976275308705,28.643897512083175
103,663158,"Suarez, Robert",1077,9.6,0,0,0,0,0,0.093,0.099,0,2,75.3,-13,2250,95.7,96.28,8,16,87,0.5999999999999943,6.82,117,149,117,150,300,325,298,-1.403,1.403,70.5,7.2,2,2,0,0,0,0,0,0,0,0,1.23087,1.28757,0.80786,-0.05699,88.0,92,0,0,0,6.19,-1.17,-0.03,2.64,0,0,1.362135922,0.099,0.121,-1.362135922,-0.099,-0.099,-0.121,-0.093,50,46.0,12.119962480881838,1.6965740421848587,30.79699705352645,0.5625,38.9023106825712,28.48032097589681
99,656546,"Hoffman, Jeff",1128,8.8,0.667,0.167,0.667,0.833,0.65,0.385,0.42,4,6,92,14.7,2478,91.9,92.07,14,24,75,0.19999999999998863,6.57,111,148,113,148,295,324,295,-2.998,2.998,63.5,7.1,6,6,3,1,0,0,0,0,0,0,2.03061,0.71082,0.57606,-0.10192,92.1,147,50,0,0,5.79,-2.57,0.12,2.53,0.667,0,3.028282828,0.42,0.464,-3.028282828,0.247,0.24700000000000005,0.369,0.265,58.3,37.5,9.936322081399249,-1.9619430857989886,26.9724390861665,0.5,37.34690664782564,30.66239462512328
92,445276,"Jansen, Kenley",869,10.6,0,0,0,0,0,0.045,0.044,0,1,74.8,-18,2576,91.7,92.48,1,4,88,0.7999999999999972,6.91,110,146,112,148,307,329,305,-1.971,1.971,70.0,7.6,1,1,0,0,0,0,0,0,0,0,1.23196,1.50033,-0.19878,0.02833,89.6,156,0,0,0,6.29,-2.3,-0.17,2.33,0,0,2.142391304,0.044,0.044,-2.142391304,-0.044,-0.044,-0.044,-0.045,25,50.6,11.776196332693393,-11.304876732564072,29.65640254919889,0.75,36.58282575293254,30.974814057465192
88,661403,"Clase, Emmanuel",746,11.8,0,0,0,0,0,0.301,0.334,0,1,76.1,-59,2551,95.5,96.32,14,19,69,0.7999999999999972,6.7,112,148,118,150,298,316,293,-1.065,1.065,70.7,7.5,1,1,0,0,0,0,0,0,0,0,1.77636,0.74182,-0.4667,-0.12966,88.0,55,0,0,0,5.99,-0.91,0.37,2.12,0,0,1.210227273,0.334,0.338,-1.210227273,-0.334,-0.334,-0.338,-0.301,73.7,51.3,11.58596037127913,1.0276972868762515,33.289225705090715,0.6470588235294118,37.618716743148234,29.939472624479112
85,608032,"Estévez, Carlos",1043,8.1,0,0,0,0,0.181,0.319,0.205,0,3,82.2,32.3,2129,91.9,91.86,6,17,68,0,6.23,110,148,116,150,293,323,296,-1.258,1.258,64.0,7.1,4,3,0,0,0,0,0,0,0,0,1.74059,0.98595,0.30859,-0.17753,88.4,167,0,0,0,6.02,-1.93,-0.18,2.7,0.25,0,1.48,0.404,0.237,-1.48,-0.205,-0.15400000000000003,-0.237,-0.138,35.3,41.3,9.203453321945277,-0.060476968647529716,31.433391724535834,0.5625,32.928213018482275,28.604286422047014
81,670280,"Bednar, David",1024,7.9,1,3,,4,2.037,1.338,0.678,1,1,103.4,30,2386,87.9,87.9,8,10,71,0,6.48,109,149,111,149,294,319,292,-2.894,2.894,59.3,6.3,1,1,0,0,0,1,0,0,0,0,2.58086,0.50667,0.04481,0.06086,103.4,418,100,100,100,5.9,-1.65,0.5,2.24,1,1,3.572839506,0.678,2.597,-3.572839506,0.322,0.32199999999999995,1.403,0.699,80,39.5,3.737416514312353,11.746640055899096,30.434845841969437,0.3,36.17842737805107,21.276873015867974
76,547973,"Chapman, Aroldis",917,8.3,0.5,0,0.5,0.5,0.441,0.251,0.269,1,2,92.1,32,2392,96.8,98.37,8,18,58,1.6000000000000085,7.28,107,148,110,146,291,322,291,-0.927,0.927,69.3,7.1,2,2,1,0,0,0,0,0,0,0,1.12158,1.34,0.29092,-0.16171,93.3,184,50,0,0,6.21,0.31,-0.36,2.75,0.5,0,1.219736842,0.269,0.306,-1.219736842,0.231,0.23099999999999998,0.194,0.19,44.4,52.4,10.018704380568805,-4.910944287725073,26.481976815802085,0.6666666666666666,31.790968556930284,31.466252386504888
73,642585,"Bautista, Félix",627,11.6,0,0,0,0,0,0.043,0.045,0,2,76.1,21,2291,94.1,94.66,4,7,66,0.6000000000000085,6.67,113,148,114,149,302,326,302,-1.416,1.416,62.6,7.2,2,2,0,0,0,0,0,0,0,0,1.24479,1.35548,0.2926,-0.1263,88.0,22,0,0,0,7,-0.1,0.2,3.05,0,0,1.939726027,0.045,0.046,-1.939726027,-0.045,-0.045,-0.046,-0.043,57.1,65.9,13.972331576199837,-2.553466200914997,33.70058148135886,0.7142857142857143,35.98707068023651,32.11891212961532
73,694037,"Palencia, Daniel",841,8.7,,,,,0.722,0.722,,0,0,,,2315,97.5,98.01,6,9,64,0.5,6.58,115,150,114,152,299,321,300,-1.882,1.882,51.5,6.3,1,0,0,0,0,0,0,0,0,0,1.40329,1.01534,0.74151,-0.00973,88.0,250,,,,5.57,-1.28,-0.19,3.23,1,,2.578082192,1,,-2.578082192,,0,,0,66.7,34.0,2.4527237974210903,9.036911415535023,31.502717941964626,0.1111111111111111,34.75145782192832,25.285626672043275
71,664854,"Helsley, Ryan",980,7.2,0,0,0,0,0,0.002,0.002,0,1,89.6,46,2455,93.5,93.87,7,8,63,0.4000000000000057,6.59,107,147,112,148,299,326,302,-1.431,1.431,68.2,7.7,1,1,0,0,0,0,0,0,0,0,1.87155,0.78479,-0.04074,-0.09574,89.6,287,0,0,0,6.15,-0.24,-0.06,2.27,0,0,2.015492958,0.002,0.003,-2.015492958,-0.002,-0.002,-0.003,-0.002,87.5,62.3,20.968956786111452,-24.438144342708554,37.878707932512064,0.25,30.046558757749384,39.69499768845097
71,676684,"Vest, Will",1137,6.2,0,0,0,0,0,0.062,0.065,0,3,66.6,-21.3,2277,94.1,94.14,6,13,58,0,6.4,114,151,110,149,300,328,296,-0.318,0.318,71.2,7.3,3,3,0,0,0,0,0,0,0,0,1.72014,0.87324,0.48029,0.14743,90.3,47,0,0,0,5.63,-1.95,-0.02,2.29,0,0,0.447887324,0.065,0.08,-0.447887324,-0.065,-0.065,-0.08,-0.062,46.2,52.9,8.943537799005409,-4.9276351182114695,33.864969787677346,0.7692307692307693,32.27116109959743,29.76925892818352
69,676254,"Walker, Ryan",1018,6.8,0,0,0,0,0.361,0.422,0.134,0,1,21.6,49,2493,90.4,90.22,4,10,59,-0.20000000000000284,6.38,107,146,111,144,297,322,295,-1.912,1.912,62.3,7.0,2,1,0,0,0,0,0,0,0,0,2.62174,0.23328,0.26174,0.19362,92.1,112,0,0,0,5.04,-3.35,0.24,1.92,0.5,0,2.771014493,0.567,0.134,-2.771014493,-0.134,-0.06699999999999995,-0.134,-0.061,40,17.9,8.06184527586384,-24.75772358842891,38.85615877376568,0.3,38.23957872766604,34.9955170766987
67,656730,"Megill, Trevor",753,8.9,1,1,1,2,1.252,0.508,0.548,1,1,84.4,21,2628,93.7,94.07,10,15,52,0.3999999999999915,6.63,114,150,115,150,304,329,300,-1.473,1.473,58.6,7.6,1,1,0,1,0,0,0,0,0,0,2.07836,0.5597,0.11925,0.01119,88.0,95,0,0,0,6.52,-0.13,0.28,2,1,0,2.198507463,0.548,0.647,-2.198507463,0.452,0.45199999999999996,1.353,0.744,66.7,53.9,11.177158916559,-11.285285306111552,34.323173814710785,0.26666666666666666,35.64383050819355,36.28694189327509
67,666808,"Doval, Camilo",1105,6.1,0.333,0,0.333,0.333,0.294,0.29,0.299,1,3,67.7,21.3,2547,93.8,94.28,5,14,53,0.5,6.36,111,148,116,148,293,322,294,-1.074,1.074,67.9,7.8,3,3,1,0,0,0,0,0,0,0,2.1797,0.42323,-0.03,0.06224,89.5,142,33.33333333333333,0,0,5.34,-1.45,0.07,2.26,0.333,0,1.602985075,0.299,0.341,-1.602985075,0.034,0.03400000000000003,-0.008,0.004,35.7,14.4,16.291217918043976,-18.474364849258624,33.597185585436534,0.5,33.49893679203187,38.103069546741665
66,695243,"Miller, Mason",972,6.8,1,0,1,1,0.882,0.217,0.241,1,1,42.9,-50,2420,92.2,92.63,10,12,54,0.3999999999999915,6.72,112,148,116,148,300,328,298,-1.29,1.29,59.1,7.8,1,1,1,0,0,0,0,0,0,0,2.2547,0.48938,-0.16742,-0.01682,88.0,99,0,0,0,6.11,-1.9,0.27,2.47,1,0,1.954545455,0.241,0.241,-1.954545455,0.759,0.759,0.759,0.665,83.3,34.3,17.945076738499495,-18.753500148698564,31.637630925605958,0.25,37.43380554092739,37.71623778271541
64,623352,"Hader, Josh",847,7.6,,,,,0.722,0.722,,0,0,,,2406,88.3,88.18,13,17,47,-0.09999999999999432,6.5,113,151,115,148,301,329,300,-0.916,0.916,56.9,7.3,1,0,0,0,0,0,0,0,0,0,2.29922,0.70524,0.21766,-0.04641,88.0,162,,,,5.58,3.21,0.09,2.41,1,,1.43125,1,,-1.43125,,0,,0,76.5,27.5,13.416943679242902,-11.281031614280495,29.671733895572977,0.4117647058823529,33.54950202760152,36.13237435164076
62,640448,"Finnegan, Kyle",846,7.3,0,0,0,0,0,0.422,0.425,0,1,94.6,18,1938,93.3,93.9,5,10,52,0.6000000000000085,6.65,109,148,116,149,303,326,304,-0.656,0.656,57.9,6.5,1,1,0,0,0,0,0,0,0,0,1.57871,1.05742,0.83823,0.00403,89.7,185,0,0,0,5.74,-2.12,-0.22,2.34,0,0,1.058064516,0.425,0.591,-1.058064516,-0.425,-0.425,-0.591,-0.422,50,50.5,6.467892286749608,-19.092036830020152,35.244474953661644,0.2222222222222222,36.75930753239307,28.90784669875593
60,656945,"Scott, Tanner",911,6.6,0,0,0,0,0,0.117,0.094,0,3,80.6,27.7,2608,92.1,92.17,9,16,44,0.10000000000000853,6.21,104,151,115,147,302,320,296,-0.205,0.205,68.6,7.6,3,3,0,0,0,0,0,0,0,0,2.0655,0.6205,-0.06933,-0.011,91.6,78,33.33333333333333,0,0,5.26,2.49,-0.74,2,0,0,0.341666667,0.094,0.191,-0.341666667,-0.094,-0.094,-0.191,-0.117,56.3,34.6,13.794817050606467,-34.58009289094927,36.96461628795385,0.4666666666666667,27.429735545449546,40.89010256472049
58,642207,"Williams, Devin",1114,5.2,,,,,,,,,,,,2546,89,90.27,3,7,51,1.2999999999999972,7.37,114,150,114,151,293,326,286,-1.204,1.204,73.8,8.1,,,,,,,,,,,2.44966,0.49655,1.315,0.13603,92.8,7,,,,5.29,-2.4,0.08,2.38,,,2.075862069,,,-2.075862069,,,,,42.9,21.8,17.40292450695506,-16.669651141607297,31.88312209958136,0.5714285714285714,40.06833902275884,42.03780313981237
58,642701,"Santana, Dennis",1002,5.8,0,0,0,0,0,0.759,0.394,0,1,104.1,38,2459,91,90.94,4,6,52,-0.09999999999999432,6.16,111,150,113,149,295,312,294,-1.165,1.165,73.9,8.2,1,1,0,0,0,0,0,0,0,0,2.02534,0.72983,0.42138,-0.02069,104.1,334,100,100,100,5.79,-2.04,0.34,2.22,0,1,2.00862069,0.394,1.484,-2.00862069,-0.394,-0.394,-1.484,-0.759,66.7,32.1,21.95404983798522,-14.371695932454548,40.801433460512534,0.3333333333333333,37.63280392633226,37.286914118888824
50,671922,"Smith, Cade",1182,4.2,,,,,0.722,0.722,,0,0,28.4,-34,1817,92.4,93.91,8,14,36,1.5,7.31,111,147,115,149,296,322,300,-1.294,1.294,56.1,6.5,3,1,0,0,0,0,0,0,0,0,1.9538,0.77,0.5076,-0.0928,88.0,81,0,0,0,5.82,-2.53,-0.26,2.9,1,0,2.588,1,,-2.588,,0,,0,57.1,37.2,4.770628738791394,-20.21537702739792,34.902784096211725,0.08333333333333333,40.124758780276515,33.8935428894674
47,650556,"Abreu, Bryan",1189,4,,,,,,,,,,,,2551,92.8,92.76,8,9,38,0,6.59,109,146,112,146,299,328,296,-0.577,0.577,61.9,6.8,,,,,,,,,,,2.14149,0.56447,0.02064,-0.07638,,,,,,5.59,-2.67,0.01,2.73,,,1.227659574,,,-1.227659574,,,,,88.9,38.6,8.808792548912628,6.026040376462884,33.46192144257063,0.3333333333333333,38.713209228797965,26.19207629162131
45,678020,"Halvorsen, Seth",636,7.1,0,0,0,0,0,0.232,0.256,0,1,94.7,-7,2204,97.3,98.69,6,8,37,1.4000000000000057,6.93,117,148,115,148,301,334,303,-0.751,0.751,62.3,7.2,1,1,0,0,0,0,0,0,0,0,1.56911,0.84378,0.72467,-0.24022,91.3,94,0,0,0,5.85,-2.31,-0.69,2.75,0,0,1.668888889,0.256,0.294,-1.668888889,-0.256,-0.256,-0.294,-0.232,75,45.9,8.047528291338407,-0.2135783322689993,34.28011066099532,0.5714285714285714,39.760056271722945,28.96843204885863
45,592426,"Jackson, Luke",782,5.8,,,,,,,,,,,,2320,88.7,89.26,7,7,38,0.5999999999999943,6.76,114,149,112,149,297,328,295,-0.916,0.916,74.7,8.6,,,,,,,,,,,2.91844,0.01422,0.06,0.13111,,,,,,6.31,-2.35,0.02,2.09,,,2.035555556,,,-2.035555556,,,,,100,51.0,25.771832272046414,-24.883416429643518,38.73481057857039,0.14285714285714285,37.28425563682629,44.82969883747552
42,621051,"Wilson, Steven",974,4.3,,,,,,,,,,,,2516,85.8,85.86,4,5,37,0.10000000000000853,6.56,108,148,117,147,301,317,298,-1.057,1.057,44.0,6.6,,,,,,,,,,,2.69071,0.46786,-0.55929,-0.62405,88.0,,,,,5.91,-2.33,0.19,1.81,,,2.516666667,,,-2.516666667,,,,,80,47.1,7.375057940927927,-15.815861350839329,32.331006369378265,0.2,43.70611613359776,43.02263663607259
41,676534,"Faucher, Calvin",1054,3.9,,,,,0.722,0.722,,0,0,,,2782,91.7,90.91,2,3,38,-0.7999999999999972,5.86,108,146,106,147,300,319,293,-1.899,1.899,72.3,7.8,2,0,0,0,0,0,0,0,0,0,2.48805,0.24925,-0.15122,0.15805,88.0,146,,,,5.88,-1.37,0.41,2.02,1,,4.631707317,1,,-4.631707317,,0,,0,66.7,44.3,16.825912373506846,-11.6563736877729,32.2524693860082,0.6666666666666666,34.759636807264705,37.339210381838654
40,680767,"Vodnik, Victor",919,4.4,1,1.5,1,2.5,1.46,1.07,0.746,2,2,101.5,15,2197,95.4,96.43,3,5,35,1,6.66,113,146,112,146,300,332,302,-2.134,2.134,73.2,8.0,2,2,1,0,0,1,0,0,0,0,1.8095,0.69,0.58615,-0.43949,101.5,247,50,50,50,5.38,-2.16,-0.17,2.27,1,1,5.335,0.746,1.811,-5.335,0.254,0.254,0.689,0.39,60,39.6,16.288492802607543,-9.192893949852714,37.03905978185618,0.4,39.45703908830119,33.88651285964756
39,592773,"Stanek, Ryne",1063,3.7,0,0,0,0,0,0.034,0.038,0,1,68.8,-24,2265,94.8,94.01,2,4,35,-0.7999999999999972,5.9,111,148,120,150,299,326,297,-0.607,0.607,66.1,8.2,1,1,0,0,0,0,0,0,0,0,1.45462,1.11333,0.42923,-0.17077,88.0,123,0,0,0,6.5,-0.69,0.22,2.86,0,0,1.556410256,0.038,0.038,-1.556410256,-0.038,-0.038,-0.038,-0.034,50,47.6,20.905462239715284,-21.874356070583723,32.58625181586511,0.5,36.709984990285825,42.42606240155674
38,606160,"Montero, Rafael",1088,3.5,0.333,0,0.333,0.333,0.294,0.394,0.429,1,3,68.1,1,2176,92.4,92.29,5,9,29,-0.10000000000000853,6.28,113,150,115,150,299,326,297,-0.316,0.316,69.7,6.9,3,3,1,0,0,0,0,0,0,0,1.845,0.84289,0.79526,0.07368,88.0,138,0,0,0,5.04,-1.98,-0.03,2.43,0.333,0,0.831578947,0.429,0.451,-0.831578947,-0.096,-0.09599999999999997,-0.118,-0.1,55.6,34.3,4.829532001804132,10.588239030304065,31.200407375485824,0.4444444444444444,35.279363039827565,24.658668998860758
37,673929,"Leasure, Jordan",1130,3.3,0,0,0,0,0,0.05,0.053,0,2,71.1,-17.5,2379,91.9,92.93,6,10,27,1,6.95,107,146,109,144,292,312,293,-0.024,0.024,69.9,8.1,2,2,0,0,0,0,0,0,0,0,1.79351,0.92514,-0.09027,-0.15243,88.0,85,0,0,0,5.84,-0.93,0.57,2.24,0,0,0.064864865,0.053,0.054,-0.064864865,-0.053,-0.053,-0.054,-0.05,60,53.9,20.074564632556044,-20.50125853495601,32.69480483642864,0.4,36.846535827193364,45.39013780104656
35,663969,"Phillips, Tyler",1114,3.1,0.5,0,0.5,0.5,0.535,0.444,0.317,1,2,71.9,9.5,2284,87.8,87.94,8,11,24,0.10000000000000853,6.49,112,148,113,149,297,316,293,-0.906,0.906,63.9,7.8,3,2,1,0,0,0,0,0,0,0,3.12829,-0.128,0.14029,0.22314,88.0,155,0,0,0,5.92,-1.15,0.17,1.5,0.667,0,2.588571429,0.545,0.371,-2.588571429,0.183,0.122,0.129,0.091,72.7,31.1,15.962160427178256,-13.761424004393731,36.579438364520406,0.18181818181818182,35.45892158116039,38.72916627101161
35,678606,"Ferrer, Jose A.",1208,2.9,,,,,,,,,,,,2180,95.8,95.29,1,4,31,-0.5,6.14,107,148,116,149,304,330,300,-0.836,0.836,73.2,7.4,,,,,,,,,,,2.116,0.39657,1.42143,-0.62486,88.0,149,,,,5.83,2.9,-0.35,1.98,,,2.388571429,,,-2.388571429,,,,,25,32.9,8.230297612106327,5.506547264266761,30.957409330342145,0.25,44.89199462712549,21.747274481617715
34,571946,"Miller, Shelby",704,4.8,0.5,0,0.5,0.5,0.441,0.213,0.191,1,2,65.7,-8.5,2375,91.4,92.61,5,8,26,1.1999999999999886,7.13,119,150,117,151,300,322,300,-0.427,0.427,68.3,7.7,2,2,1,0,0,0,0,0,0,0,1.71794,1.04382,0.77529,-0.42176,90.5,119,50,0,0,5.39,-1.44,-0.02,2.21,0.5,0,1.255882353,0.191,0.304,-1.255882353,0.309,0.309,0.196,0.228,62.5,43.5,15.386553355896055,-12.851197694065313,25.819875079977763,0.5,41.83668139648606,38.04995889087031
33,519151,"Pressly, Ryan",661,5,,,,,,,,,,,,2742,88.3,88.14,0,2,31,-0.20000000000000284,6.31,113,149,111,152,297,321,300,-0.852,0.852,46.2,4.9,,,,,,,,,,,2.66818,0.30364,-0.38,0.21455,88.0,,,,,5.92,-0.67,-0.31,2.17,,,2.581818182,,,-2.581818182,,,,,0,55.9,-16.400101956548085,-25.20136556499975,44.44424964077602,0.5,33.60536486938763,44.8761044738054
33,682842,"Uribe, Abner",1164,2.8,0,0,0,0,0,0.005,0.006,0,1,64.2,84,2397,93.1,93.05,2,4,29,0,6.39,112,149,121,150,304,327,301,-0.668,0.668,55.7,6.3,1,1,0,0,0,0,0,0,0,0,2.25697,0.435,0.23303,-0.35,88.0,8,0,0,0,5.86,-1.28,0.11,2.31,0,0,2.024242424,0.006,0.006,-2.024242424,-0.006,-0.006,-0.006,-0.005,50,37.0,2.235195723346088,-21.970644566441173,36.08204576779604,0.25,39.738482612156474,34.12587364106925
31,676395,"Garcia, Robert",972,3.2,1,0,1,1,0.882,0.295,0.278,1,1,71.8,44,2117,90.4,90.36,3,7,24,0,6.42,108,149,107,150,298,322,298,-0.655,0.655,70.0,7.5,1,1,1,0,0,0,0,0,0,0,2.17806,0.63871,0.74645,-0.25935,88.0,180,0,0,0,5.63,3.72,0.59,2.62,1,0,2.112903226,0.278,0.375,-2.112903226,0.722,0.722,0.625,0.587,42.9,25.2,12.467694066790898,-3.246701717356772,35.34401797791438,0.5714285714285714,35.60384966481455,29.98323042351413
30,596133,"Weaver, Luke",1049,2.9,,,,,,,,,,,,2377,93.4,92.77,4,7,23,-0.6000000000000085,6.07,112,149,113,151,294,322,290,-0.413,0.413,74.5,7.9,,,,,,,,,,,1.24167,1.39033,0.60793,-0.14586,88.0,156,,,,5.65,-1.53,-0.01,2.37,,,1.376666667,,,-1.376666667,,,,,57.1,49.0,18.985424497690488,-12.53267392187007,27.14029062444531,0.7142857142857143,44.118062256543276,36.90051100155561
30,665660,"Alvarado, Elvis",765,3.9,,,,,,,,,,,,2400,96.7,95.56,2,5,25,-1.1000000000000085,5.86,109,149,121,148,300,325,294,-0.473,0.473,63.3,6.7,,,,,,,,,,,1.61067,0.86067,1.01567,0.09567,88.0,3,,,,5.72,-2.45,0.13,2.45,,,1.576666667,,,-1.576666667,,,,,40,19.0,5.196407324067911,1.2436350762964672,33.47760369159076,0.6,28.16631505710936,24.79538559519495
28,684320,"Rodríguez, Yariel",1159,2.4,0,0,0,0,0.361,0.433,0.16,0,1,45.3,29,2490,93.1,92.91,2,3,25,-0.19999999999998863,6.38,113,150,111,150,291,321,293,-0.796,0.796,66.8,6.8,2,1,0,0,0,0,0,0,0,0,1.89,0.785,0.18577,-0.10192,88.0,113,0,0,0,5.74,-1.78,-0.27,2.76,0.5,0,2.842857143,0.58,0.161,-2.842857143,-0.16,-0.07999999999999996,-0.161,-0.072,66.7,37.1,10.999110399310066,1.0452755321608151,31.63745679366731,0,35.74291557854362,31.679710520669836
28,664208,"Maton, Phil",1008,2.8,0,0,0,0,0.361,0.363,0.004,0,1,54.9,79,2695,84.8,85.6,2,4,24,0.7999999999999972,6.95,112,148,103,149,298,324,303,-0.884,0.884,61.0,6.6,2,1,0,0,0,0,0,0,0,0,2.83,0.39964,-0.46857,0.28714,88.0,25,0,0,0,5.17,-1.43,0,2.51,0.5,0,3.157142857,0.502,0.004,-3.157142857,-0.004,-0.0020000000000000018,-0.004,-0.002,50,25.1,10.035147660272113,14.081203633799145,32.35079629259262,0.5,33.66510613759022,19.504064537845146
28,685126,"Eisert, Brandon",1216,2.3,,,,,0.722,0.722,,0,0,,,1858,86,86.99,2,3,25,1,7.07,106,150,112,149,297,322,293,-0.802,0.802,75.7,8.2,1,0,0,0,0,0,0,0,0,0,2.53821,0.57036,0.61143,-0.18714,96.7,265,,,,5.05,4.07,0.39,2.24,1,,2.864285714,1,,-2.864285714,,0,,0,66.7,29.9,25.09937698867482,-30.590295637857857,36.39779087042249,0.6666666666666666,29.37329623309103,55.97582002384923
28,688642,"Agnos, Zach",527,5.3,0.5,1.5,0,2,1.019,0.842,0.471,1,2,92.6,6,2201,91.6,91.68,4,6,22,0.10000000000000853,6.05,110,148,113,146,307,336,303,-1.425,1.425,71.8,7.9,2,2,0,0,0,1,0,0,0,0,2.13857,0.56714,0.2437,-0.21556,96.5,209,50,50,50,5.88,-1.83,0.39,2.35,0.5,1,5.089285714,0.471,1.564,-5.089285714,0.029,0.029000000000000026,0.436,0.177,66.7,40.1,13.503953704583838,-14.643320130465513,31.157592263624743,0.6666666666666666,36.23018422047777,36.64826086235356
27,669211,"Akin, Keegan",1058,2.6,0.5,0,0.5,0.5,0.441,0.209,0.225,1,2,76.5,27.5,2372,91.1,89.98,6,8,19,-1.0999999999999943,5.76,106,150,116,148,302,325,294,-0.608,0.608,70.4,7.5,2,2,1,0,0,0,0,0,0,0,1.79519,1.02615,0.77519,-0.73444,88.0,176,0,0,0,5.91,1.85,0.48,2.6,0.5,0,2.251851852,0.225,0.243,-2.251851852,0.275,0.275,0.257,0.232,75,38.5,11.26382298013054,-5.483736838535614,33.53567830410146,0.25,37.252843180789405,32.19825345837249
27,621381,"Strahm, Matt",993,2.7,,,,,,,,,,,,2557,87.8,87.41,3,3,24,-0.3999999999999915,6.17,105,148,112,147,299,319,287,-0.64,0.64,59.9,7.4,,,,,,,,,,,2.1663,0.83407,0.46667,0.11926,,,,,,5.4,2.28,-0.2,2.6,,,2.37037037,,,-2.37037037,,,,,100,31.0,18.948852457566645,-9.561487630816139,33.403379735253694,0.3333333333333333,33.335223869507566,36.849803292412744
