pitches_out_of_zone,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length,pa,bip,singles,doubles,triples,hrs,so,k_percent,bb,bb_percent,api_break_z_with_gravity,api_break_z_induced,api_break_x_arm,api_break_x_batter_in,hyper_speed,bbdist,hardhit_percent,barrels_per_bbe_percent,barrels_per_pa_percent,release_pos_z,release_pos_x,plate_x,plate_z,obp,barrels_total,batter_run_value_per_100,xobp,xslg,pitcher_run_value_per_100,xbadiff,xobpdiff,xslgdiff,wobadiff,swing_miss_percent,arm_angle,attack_angle,attack_direction,swing_path_tilt,rate_ideal_attack_angle,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
3,806185,"Birdsong, Hayden",1194,0.3,0,0,0,0,0,0.229,0.254,0,1,30.1,9,2456,90.6,90.57,0,1,2,0,6.27,110,151,126,149,300,320,290,0.145,-0.145,31.7,5.3,1,1,0,0,0,0,0,0,0,0,1.94333,0.84,0.06,0.06,88.0,29,0,0,0,6.65,-2.03,-0.27,2.36,0,0,-4.833333333,0.254,0.255,4.833333333,-0.254,-0.254,-0.255,-0.229,0,49.7,1.6557527527350102,22.758722074227123,33.06503758449595,0,24.405069536014075,19.056719344566794
3,668881,"Greene, Hunter",1748,0.2,,,,,,,,,,,,2093,94,94.63,2,2,1,0.5999999999999943,6.73,117,152,107,150,301,321,297,0.043,-0.043,66.9,8.4,,,,,,,,,,,1.88333,0.72333,0.61,-0.19667,,,,,,5.7,-2.22,0.67,1.7,,,-1.433333333,,,1.433333333,,,,,100,29.7,19.957998767415845,-18.57290864184642,29.781106362569382,0.5,43.321933963441296,41.45206768075836
3,676962,"Brown, Ben",1759,0.2,,,,,,,,,,,,2282,92.9,93.77,0,0,3,0.8999999999999915,6.73,121,150,132,154,309,333,303,-0.117,0.117,,,,,,,,,,,,,1.72,0.93667,0.23667,0.06333,,,,,,6.55,-1.66,0.15,2.4,,,3.9,,,-3.9,,,,,,45.0,,,,,,
3,676083,"Junk, Janson",1622,0.2,,,,,,,,,,,,2414,87,87.53,0,0,3,0.5,6.67,109,153,113,148,312,322,292,-0.119,0.119,,,,,,,,,,,,,2.36667,0.67,-0.63667,-0.63667,,,,,,5.77,-0.65,0.2,0.7,,,3.966666667,,,-3.966666667,,,,,,52.3,,,,,,
3,695418,"Lord, Brad",2128,0.1,,,,,,,,,,,,2280,96,95.73,0,0,3,-0.29999999999999716,6,118,147,119,150,301,318,303,-0.118,0.118,,,,,,,,,,,,,1.87333,0.58667,1.36,-0.35333,,,,,,5.23,-2.57,-0.29,2.54,,,3.933333333,,,-3.933333333,,,,,,19.4,,,,,,
2,805123,"Blubaugh, AJ",507,0.4,,,,,,,,,,,,2620,88.8,88.6,0,0,2,-0.20000000000000284,6.75,101,154,118,146,290,337,300,-0.076,0.076,,,,,,,,,,,,,2.325,0.685,-0.18,-0.18,,,,,,5.88,-2.45,0.71,1.04,,,3.8,,,-3.8,,,,,,45.9,,,,,,
2,554430,"Wheeler, Zack",2394,0.1,,,,,,,,,,,,2398,96.5,97.6,0,1,1,1.0999999999999943,7,114,148,100,151,287,326,296,0.002,-0.002,66.9,7.4,,,,,,,,,,,1.615,0.845,1.1,0.35,88.0,5,,,,5.04,-2.05,-1.27,2.81,,,-0.1,,,0.1,,,,,0,21.3,3.4878791613724798,-10.261160645380413,40.33338292545264,0,22.609633357698623,28.009559966375257
2,672282,"Detmers, Reid",1084,0.2,,,,,,,,,,,,2604,76.4,76,0,0,2,-0.29999999999999716,6.4,117,147,91,154,299,326,315,0.006,-0.006,,,,,,,,,,,,,5.34,-1.38,-0.79,-0.79,,,,,,6.11,1.52,-0.93,1.94,,,-0.3,,,0.3,,,,,,50.9,,,,,,
2,641793,"Littell, Zack",2788,0.1,,,,,,,,,,,,2228,87.5,87.05,0,0,2,-0.4000000000000057,6.15,107,151,122,142,294,326,296,-0.063,0.063,,,,,,,,,,,,,2.38,0.62,-0.21,-0.21,,,,,,6.25,-0.84,0.96,3.6,,,3.15,,,-3.15,,,,,,40.0,,,,,,
2,669160,"May, Dustin",2170,0.1,,,,,,,,,,,,2200,92.9,93.5,0,1,1,0.7000000000000028,6.8,112,150,133,149,276,320,303,0.007,-0.007,78.0,6.0,,,,,,,,,,,1.755,0.9,1.235,0.325,88.0,6,,,,5.16,-2.31,-1.14,3.07,,,-0.35,,,0.35,,,,,0,26.5,-12.383001484927,9.826223131290476,37.754602274007965,0,25.176671393282557,29.726789225604758
